Metric Name, Min, Max, Mean, Median, P95
service_sidecar_internal_req_latency_nanos-17, 0.071077, 0.920916, 0.473656, 0.468512, 0.779386
service_sidecar_internal_req_latency_nanos-18, 0.095140, 1.285612, 0.453221, 0.424822, 0.818883
service_sidecar_internal_req_latency_nanos-19, 0.119459, 1.281253, 0.513188, 0.425616, 1.202465
service_sidecar_internal_req_latency_nanos-20, 0.176426, 1.530036, 0.582377, 0.515188, 1.124064
service_sidecar_internal_req_latency_nanos-21, 0.055995, 1.134279, 0.467352, 0.482021, 0.840976
service_sidecar_internal_req_latency_nanos-22, 0.075182, 0.961266, 0.469249, 0.464774, 0.822809
service_sidecar_internal_req_latency_nanos-23, 0.096816, 1.593756, 0.519888, 0.556361, 0.788042
service_sidecar_internal_req_latency_nanos-24, 0.041594, 1.336804, 0.517448, 0.486591, 0.820531
service_sidecar_internal_req_latency_nanos-25, 0.153745, 0.962419, 0.467493, 0.460144, 0.837673
service_sidecar_internal_req_latency_nanos-26, 0.069804, 0.909828, 0.417390, 0.377621, 0.859487
service_sidecar_internal_req_latency_nanos-27, 0.102294, 0.981002, 0.498027, 0.504801, 0.872569
service_sidecar_internal_req_latency_nanos-28, 0.075701, 1.118338, 0.481229, 0.468413, 0.906429
service_sidecar_internal_req_latency_nanos-29, 0.115150, 0.970191, 0.487338, 0.493458, 0.905204
service_sidecar_internal_req_latency_nanos-30, 0.147325, 1.539740, 0.514386, 0.447144, 1.003407
service_sidecar_internal_req_latency_nanos-31, 0.063514, 1.320652, 0.367118, 0.328423, 0.730986
